HF_FNCLTY_MTRAL_RCOGN_NO,PRMS_DT,BSSH_NM,INDUTY_NM,ADDR,APLC_RAWMTRL_NM,FNCLTY_CN,DAY_INTK_CN,IFTKN_ATNT_MATR_CN,_FETCH_IDX
2009-60,20090605,씨제이제일제당(주),건강기능식품수입업,서울특별시 중구 동호로 330(쌍림동),테아닌,“스트레스로 인한 긴장을 완화시키는데 도움을 줄 수 있음” (기타기능 II),L-테아닌 으로서 200~250mg/일,"1) L-테아닌은 카페인과 길항작용이 있으므로 섭취 시 카페인 함유음료(커피, 홍차, 녹차 등)의 섭취를 삼가시기 바랍니다.
2) 임산부, 수유부 및 어린이, 기타 질병을 가지고 있는 사람은 섭취 전 의사와 상담하시기 바랍니다.
3) 수술 전 후에는 섭취에 주의하시기 바랍니다.
4) 과량 섭취 시 위장장애, 어지러움 등의 증상이 나타날 수 있습니다.",1
2008-80,20081231,(주)대덕약업,건강기능식품수입업,경기도 수원시 영통구 대학1로8번길 70-8(1층 이의동),아글리맥스(AglyMax) 30 이소플라본추출물,"(1) 성상 : 밝은 황갈색의 분말
 (2) 납(㎎/㎏) : 1.0 이하
 (3) 총비소(㎎/㎏) : 1.0 이하
 (4) 카드뮴(㎎/㎏) : 1.0 이하
 (5) 총수은(㎎/㎏) : 1.0 이하
 (6) 대장균군 : 음성",이소플라본 비배당체로서 25 mg/day,"1) 섭취 대상자는 폐경기 여성임
2) 임산부와 수유 여성은 섭취를 삼가야 함
3) 영유아, 어린이는 섭취를 삼가야 함
4) 대두 이소플라본에 민감한 사람은 섭취를 삼가야 함
5) 갑상선, 유방암, 자궁내막암, 방광암 환자 등은 섭취를 삼가야 합",1
2006-20,20060913,(주)삼정향료,건강기능식품수입업,충청북도 음성군 용광로114번길 62,Green Mate Extract EFLA920,"""Green Mate Extract EFLA? 920은 체지방 감소에 도움을 줄 수 있으나 아직은 과학적인 근거가 부족합니다."" 

소수의 인체시험에서 “Green Mate Extract EFLA? 920”이 체지방 감소에 도움을 줄 수 있음이 입증되었으나 이를 설명할 수 있는 과학적 근거가 부족합니다. (기타기능III)",.,,1
2008-52,20081003,(주)삼정향료,,충청북도 음성군 용광로114번길 62,Green Mate Extract EFL 920,체지방 감소에 도움을 줄 수 있습니다 (기타기능II),Green Mate Extract EFLA 920로서 3g/일,"1) 어린이, 임산부 및 수유부는 섭취를 피할 것
2) 질환이 있거나 의약품 복용시 전문가와 상담할 것
3) 카페인을 함유한 식품의 섭취에 주의할 것
4) 이상사례를 발생 시 섭취를 중단하고 전문가와 상담할 것",1
2013-23,20130711,주식회사 노바렉스,건강기능식품전문제조업,충청북도 청주시 청원구 각리1길 94 641-2번지,루테인 지아잔틴 복합 추출물 20%,노화로 인해 감소될 수 있는 황반색소밀도를 유지시켜 주어 눈 건강에 도움을 줌(생리활성기능 1등급),루테인과 지아잔틴의 합으로서 10~20mg,"1) 임산부는 섭취 전 의사와 상담이 필요합니다.
2) 과다 섭취시 일시적으로 피부가 황색으로 변할 수 있습니다.",1
2008-84,20081231,(주)동원에프앤비,건강기능식품수입업,서울특별시 서초구 마방로 68(6층 양재동),쏘팔메토 열매 추출물,“쏘팔메토 열매 추출물은 전립선 건강의 유지에 도움을 줄 수 있습니다” (기타기능II),쏘팔메토 열매 추출물로서 320mg,"1) 임산부 및 수유여성은 섭취에 주의
2) 메스꺼움이나 설사 등 소화계통의 불편함을 유발할 수 있음",1
2010-18,20100422,타이요인터코리아(주),건강기능식품수입업,"서울특별시 서초구 논현로 79(302호 양재동, 윈스톤호피스텔)",썬테아닌,“스트레스로 인한 긴장을 완화시키는데 도움을 줄 수 있음” (기타기능 II),L-테아닌 으로서 200~250 mg/일,"1) L-테아닌은 카페인과 길항작용이 있으므로 섭취 시 카페인 함유음료(커피, 홍차, 녹차 등)의 섭취를 삼가시기 바랍니다.
2) 임산부, 수유부 및 어린이, 기타 질병을 가지고 있는 사람은 섭취 전 의사와 상담하시기 바랍니다.
3) 수술 전 후에는 섭취에 주의하시기 바랍니다.
4) 과량 섭취 시 위장장애, 어지러움 등의 증상이 나타날 수 있습니다.",1
2013-32,20131121,주식회사 노바렉스,건강기능식품전문제조업,충청북도 청주시 청원구 각리1길 94,전칠삼 추출물 등 복합물,관절건강에 도움을 줄 수 있음(생리활성기능2등급),전칠삼추출물 등 복합물로서 800 mg/일,-,1
2015-7,20150316,주식회사 노바렉스,건강기능식품전문제조업,충청북도 청주시 청원구 오창읍 각리1길 94,돌외잎 추출물,스트레스로 인한 긴장완화에 도움을 줄 수 있음(생리활성기능 2등급),돌외잎추출물로서 400 mg/일,"1) 과량 섭취 시 위장장애(구토와 위장운동 증가)가 발생할 수 있음
2) 아스피린, 혈액항고제 복용 시 섭취에 주의",1
2010-39,20100830,주식회사 노바렉스,수입식품등 수입ㆍ판매업,충청북도 청주시 청원구 오창읍 각리1길 94,크랜베리 추출물,요로에 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(생리활성기능 2등급),크랜베리 추출물(Cran-Max)로서 500mg/일,-,1
2014-37,20140811,주식회사 노바렉스,건강기능식품전문제조업,충청북도 청주시 청원구 각리1길 94,오메가-3 지방산 함유 유지,기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급),DHA와 EPA의 합으로서 0.9~2 g/일,「건강기능식품 기능성 원료 및 기준․규격  인정에 관한 규정」 제10조제2항에 따라 「건강기능식품의 기준 및 규격」에 고시 예정임,1
2014-66,20141217,주식회사 노바렉스,건강기능식품전문제조업,충청북도 청주시 청원구 각리1길 94,감마리놀렌산 함유 유지,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음(생리활성기능 2등급),감마리놀렌산으로서 160~300 mg/일,「건강기능식품 기능성 원료 및 기준․규격  인정에 관한 규정」 제10조제2항에 따라 「건강기능식품의 기준 및 규격」에 고시 예정임,1
2016-20,20160928,(주)성우인터켐,수입식품등 수입ㆍ판매업,서울특별시 구로구 구로중앙로30길 26(구로동),EPA 및 DHA 함유유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음,EPA와 DHA의 합으로서 0.6~1 g/일,-,1
2009-46,20090429,(주)바이오그랜드,건강기능식품벤처제조업,"경기도 의왕시 이미로 40(포일동, 인덕원IT밸리) B동 609-1호",피브로인추출물 BF-7,기억력 개선에 도움을 줄 수 있습니다. (기타 II등급),피브로인 추출물로서 200~400mg,1) 임산부 및 수유여성은 섭취에 주의,1
2014-25,20140609,롯데웰푸드(주),수입식품등 수입ㆍ판매업,경기도 화성시 향남읍 제약공단4길 74,카카오분말,혈관이완을 통한 혈행개선에 도움을 줄 수 있음(생리활성기능 2등급),카카오분말로서 2.8 g/일,"1) 제안된 일일섭취량 이상 과량 섭취하지 않도록 주의
2) 임산부와 수유부, 카페인에 민감한 사람의 경우 섭취에 주의
3) 특정 질병이 있는 경우 섭취 전에 의사와 상담",1
2010-2,20100202,(주)대덕약업,수입식품등 수입ㆍ판매업,"경기도 수원시 영통구 대학1로 8 (1층, 이의동)",연어펩타이드,"혈압이 높은 사람에게 도움을 줄 수 있음
(기타기능II)",연어 펩타이드로서 2g/일,"1) 임산부, 수유부는 섭취를 삼가시기 바랍니다.
2) 어린이, 노인, 신부전이 있는 사람, 혈압약을 복용하시는 분이 섭취 시에는 의사와 상담하셔야 합니다.",1
2009-86,20091028,(주)바이오랜드,건강기능식품수입업,경기도 안산시,헛개나무 과병 추출 분말,1) 알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음(기타 II) 2) 스트레스로 인한 피로 개선에 도움을 줄 수 있음(생리활성기능 2등급) 3) 운동능력 향상에 도움을 줄 수 있음(생리활성기능 2등급),"헛개나무 과병 추출 분말로서 2,460mg",-,1
2010-28,20100701,한국암웨이(주),수입식품등 수입ㆍ판매업,서울특별시 강남구 영동대로 517 (삼성동) 28층,피카오프레토 분말 등 복합물(ClearGuardTM),“과민반응에 의한 코 상태 개선에 도움을 줄 수 있음(기타Ⅱ)”,"‘아세로라농축물, 계피추출물, 피카오프레토분말 3종 혼합물’로서 1,350 mg/일","1) 임산부와 수유부, 어린이는 섭취에 주의하시기 바랍니다.",1
2011-26,20110926,주식회사 노바렉스,수입식품등 수입ㆍ판매업,충청북도 청주시 청원구 오창읍 각리1길 94,회화나무열매추출물,갱년기 여성의 건강에 도움을 줄 수 있음(기타기능Ⅱ),회화나무열매추출물로서 350 mg/일,1) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의,1
2011-21,20110909,(주)헤너스,수입식품등 수입ㆍ판매업,"경기도 성남시 분당구 수내동 수내로 54 (수내동,삼성보보스쉐르빌)",글로빈 가수분해물,식후 혈중 중성지질 개선에 도움을 줄 수 있음(기타기능Ⅱ),글로빈 가수분해물로서 1 g/일,"1) 영유아, 어린이, 임산부와 수유부는 섭취 시 주의
2) 높은 혈당 및 당뇨환자는 섭취 시 주의",1
2009-87,20091207,(주)삼오제약,건강기능식품수입업,서울특별시 강남구 역삼동 751-10   삼오빌딩 6층,해태올리고펩타이드,“혈압조절에 도움을 줄 수 있음(기타기능II)”,해태올리고펩티드로서 1.6g,1) 해조식 섭취에 주의해야 하는 분은 섭취를 삼가시기 바랍니다.,1
2013-25,20130820,(주)뉴메드,수입식품등 수입ㆍ판매업,"서울특별시 동대문구 이문로 88 (14층 1401호 이문동, 민족통일빌딩)",가시오갈피 등 복합추출물,"관절 건강에 도움을 줄 수 있음
(생리활성기능 2등급)",가시오갈피 등 복합추출물 로서 1.5 g/일,"1) 임산부 및 수유부 여성은 섭취에 주의
2) 알레르기 및 특이체질, 질병치료 중인 사람은 섭취에 주의",1
2014-45,20140912,(주)메디앤바이오,수입식품등 수입ㆍ판매업,경기도 평택시 칠괴동 산단로197번길 73 576-1 (1층),L-arabinose,"설탕 소화흡수를 완만하게 하여 혈당조절에 
도움을 줄 수 있음
(생리활성기능 2등급)",신청원료로서 설탕 섭취량의 3% (L-arabinose를 포함하는 설탕으로서 6 g/일),"1) 과도한 설탕의 섭취는 건강에 해로울 수 있음
2) 본 원료를 과량으로 섭취하면 설사를 유발할 수 있음
3) 당뇨병 치료를 받으시는 분은 의사와 상담 후 본 원료를 섭취할 것을 권장함",1
2008-9,20080214,(주)씨스팡,수입식품등 수입ㆍ판매업,서울특별시 구로구 디지털로34길 55 404호(코오롱 싸이언스 밸리 2차),칸탈로프멜론추출물,1)산화스트레스로부터 인체를 보호하는데 도움을 줄 수 있습니다(기타II) 2)혈관벽 두께 증가 억제를 통한 혈행개선에 도움을 줄 수 있습니다(기타II) 3) 자외선에 의한 피부홍반개선으로 피부건강에 도움을 줄수 있음(기타II),"500~1,00 IU/일 (SOD 활성으로서)",1) 밀 단백질에 알레르기를 나타내는 사람은 섭취에 주의,1
2012-12,20120326,(주)성균바이오텍,건강기능식품전문제조업,"경기도 안산시 단원구 신길동 능안로 81 (신길동, 안산디지털파크)",민들레 등 추출복합물,피부보습에 도움을 줄 수 있음(생리활성기능 2등급),민들레 등 추출복합물로서 750 mg/day,-,1
2012-23,20120917,(주)키토라이프,건강기능식품전문제조업,"경기도 평택시 칠괴동 산단로197번길 73 칠괴동,(주)키토라이프",키토올리고당,"체지방 감소에 도움을 줄 수 있으나, 관련 인체적용시험이 미흡함(생리활성기능 3등급)",키토올리고당으로서 3g,1) 게 또는 새우에 알레르기가 있는 사람은 섭취에 주의,1
2012-27,20120928,(주)서흥캅셀,건강기능식품전문제조업,"충청북도 청주시 흥덕구 오송읍 오송생명로 61 (오송읍,(주)서흥캅셀 (주)서흥캅셀)",로즈힙분말,관절 및 연골 건강에 도움을 줄 수 있음(생리활성기능 2등급),로즈힙분말로서 5g/일,"1) 알레르기 반응을 보이는 사람의 경우 섭취 전 성분 확인 필요함
2) 임산부, 수유부, 어린이의 섭취는 전문의와 상담 후 섭취를 권장함",1
2013-4,20130306,한국인스팜주식회사,건강기능식품전문제조업,전라남도 화순군 동면 동농공길 72,발효울금,"간 건강에 도움을 줄 수 있으나, 관련 인체적용시험이 미흡함(생리활성기능 3등급)",발효울금으로서 3g/일,"1) 어린이, 임산부 및 수유부는 섭취에 주의
2) 항응고제 복용시 섭취에 주의",1
2013-6,20130417,(주)지에프퍼멘텍,건강기능식품전문제조업,"서울특별시 강서구 화곡로13길 107 (화곡동,화곡푸르지오 136동) 203호",나토균배양분말,혈행 개선에 도움을 줄 수 있음(생리활성기능 2등급),나토균배양분말로서 44~64 mg/일,"1) 대두에 알레르기를 나타내는 사람은 섭취에 주의
2) 임산부, 수유부 섭취에 주의
3) 의약품(혈액항응고제)복용 시 섭취에 주의
4) 수술 전, 후 섭취에 주의",1
2013-14,20130703,(주)오스코텍,건강기능식품벤처제조업,"경기도 성남시 분당구 삼평동 대왕판교로 700 (삼평동,코리아바이오 파크)",가시오가피숙지황복합추출물,뼈 건강에 도움을 줄 수 있음(생리활성기능 2등급),가시오가피숙지황 복합추출물로서 800mg/일,"1) 영.유아, 임산부, 수유부는 섭취에 주의
2) 알레르기 체질이거나 특정질환이 있는 사람은 섭취에 주의",1
2013-31,20131017,(주)파미니티,건강기능식품벤처제조업,경기 과천시 별양동  1-15번지 그레이스빌딩 1104호,MR-10 민들레등복합추출물,갱년기 남성의 건강에 도움을 줄 수 있음(생리활성기능 2등급),MR-10 민들레등복합추출물로서 400 mg,-,1
2012-31,20121109,주영엔에스(주),수입식품등 수입ㆍ판매업,"서울특별시 서초구 서초동 사임당로1길 15 (서초동,소담빌딩)",콩발효추출물,,,,1
2012-32,20121109,(주)네이처텍,수입식품등 수입ㆍ판매업,"충청북도 진천군 초평면 용정길 29-8 (초평면,(주)네이처텍)",콩발효추출물,식후 혈당상승 억제에 도움을 줄 수 있음(생리활성기능 2등급),콩발효추출물로서 900 mg/일,"1) 대두에 알레르기를 나타내는 사람은 섭취 시 주의
2) 임산부, 수유부 및 어린이는 섭취 시 주의",1
2014-43,20140904,(주)삼정,수입식품등 수입ㆍ판매업,"서울특별시 관악구 봉천로 561 (봉천동, 삼정빌딩 6층)",호박씨추출물 등 복합물,방광의 배뇨기능 개선에 도움을 줄 수 있음(생리활성기능 2등급),"호박씨추출물 등 복합물로서 600 ～ 1,000 mg/일","1) 영유아, 어린이, 임산부와 수유부는 섭취에 주의2) 호박씨, 대두에 알레르기를 나타내는 사람은 섭취에 주의3) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의",1
2014-44,20140911,(주)뉴트라젠,건강기능식품벤처제조업,충청북도 음성군 삼성면 덕호로 114,참당귀 추출분말(Nutragen),1) 노화로 저하된 인지기능 개선에 도움을 줄 수 있음 2) 관절건강에 도움을 줄 수 있음(생리활성기능 2등급),1) 참당귀 추출분말(Nutragen)로서 800 mg/일(인지기능 개선) 2) 참당귀추출분말(Nutragen)로서 800 mg(관절건강),"1) 소화불량, 속쓰림 등이 나타날 수 있습니다.
2) 혈액응고방지제 또는 혈당강하제를 복용하시는 분은 의사의 상담 하에 사용하여 주십시오.",1
2012-24,20120921,씨제이웰케어,수입식품등 수입ㆍ판매업,"서울특별시 중구 세종대로 14 (남대문로5가, 그랜드센트럴(GRAND CENTRAL)) 5,6층",Collactive 콜라겐펩타이드,"피부 보습에 도움을 줄 수 있음
(생리활성기능 2등급)",Collactive콜라겐펩타이드로서 2g/일,1) 임산부와 수유부는 섭취에 주의하시기 바랍니다.,1
2012-5,20120120,사빈사코리아주식회사,,"서울특별시 강남구 역삼동 테헤란로 151 (역삼동,역삼하이츠빌딩)",콜레우스 포스콜리 추출물,"체지방 감소에 도움을 줄 수 있음
(생리활성기능 2등급)",콜레우스 포스콜리 추출물로서 500 mg/일,"1) 임산부, 수유여성, 어린이는 섭취에 주의",1
2015-11,20150406,(주)헬스바이오메드,건강기능식품유통전문판매업,서울특별시 강남구 도곡동 도곡로28길 8 도곡1차 (I PARK 상가) 108호,인삼다당체추출물,면역기능 증진에 도움을 줄 수 있음(생리활성기능 2등급),인삼다당체추출물로서 6 g/일,"1) 특이체질 또는 알레르기 체질인 경우에는 성분을 확인한 후 섭취
2) 의약품(당뇨치료제, 혈액항응고제)복용 시 섭취에 주의",1
2015-22,20151104,(재)제주테크노파크,건강기능식품전문제조업,제주특별자치도 제주시 이도이동  217 벤처마루 4F,까마귀쪽나무 열매 주정추출물,관절건강에 도움을 줄 수 있음(생리활성기능 2등급),까마귀쪽나무 열매 주정추출물로서 200 mg/일,-,1
2013-18,20130703,(주)뉴트리플랜,건강기능식품벤처제조업,경기도 파주시 조리읍 능안로266번길 29 388-20,로즈힙분말,관절 및 연골 건강에 도움을 줄 수 있음(생리활성기능 2등급),로즈힙분말로서 5g/일,"1) 알레르기 반응을 보이는 사람의 경우 섭취전 성분 확인 필요함
2) 임산부, 수유부, 어린이의 섭취는 전문의와 상담 후 섭취를 권장함",1
2006-3,20100401,(주)유니젠,건강기능식품전문제조업,충청남도 천안시 동남구 매봉로 450-86,황금등복합물,,,,1
2013-13,20130605,(주)장생도라지,건강기능식품벤처제조업,경상남도 진주시 정자천로15번길 5,도라지추출물(DRJ-AD),"노인의 인지능력 개선에 도움을 줄 수 있으나, 인체적용시험이 미흡(생리활성기능 3등급)",도라지추출분말로서 3g/일,-,1
2009-50,20090605,(주)HK바이오텍,건강기능식품전문제조업,경상남도 진주시 문산읍 월아산로950번길 6,HK 나토배양물,"혈액의 흐름을 방해할 수 있는 혈소판응집을 억제하여, 혈액흐름을 원활히 하는데 도움을 줄 수 있음(기타 II)",HK나토배양물로서 133mg,"1) 알레르기 체질이신 분은 원재료를 확인하신 후 섭취하십시오.
2) 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.
3) 과다 섭취시 혈액응고가 저해되어 출혈 위험이 증가될 수 있습니다.
4) 항혈전 관련 약품(항응고제, 항혈소판제제)을 섭취하는 사람은 의사와 상담 후 섭취하여야 합니다.
5) 수술 전과 후에는 섭취를 피해야 합니다.",1
2016-21,20161226,(주)바이오믹스,건강기능식품벤처제조업,경기도 고양시 일산동구 백석동 일산로 142,오미자추출물,갱년기 여성 건강에 도움을 줄 수 있음(생리활성기능 2등급),오미자추출물로서 783 mg/일,-,1
2012-21,20120726,(주)사노피-아벤티스코리아,수입식품등 수입ㆍ판매업,서울특별시 강남구 역삼동 테헤란로 132,유단백가수분해물(락티움),스트레스로 인한 긴장 완화에 도움을 줄 수 있음(생리활성기능 2등급),유단백가수분해물(락티움)로서 150 mg/일,"1) 임산부, 수유여성 및 어린이는 섭취에 주의
2) 우유 및 유제품에 대하여 알레르기를 나타내는 사람은 섭취에 주의",1
2014-46,20141002,한국인스팜(주),건강기능식품벤처제조업,전라남도 화순군 동면 동농공길 17,비파엽추출물,기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급),비파엽추출물로서 1.5g,-,1
2014-20,20140519,대상(주),건강기능식품벤처제조업,전북특별자치도 군산시 소룡동 외항로 884 107-1202,발효식초석류복합물,,,,1
2017-7,20100715,(주)HK바이오텍,건강기능식품전문제조업,"경상남도 진주시 대곡면 대화로 41 (대곡면,)",HK표고버섯균사체,,,,1
2017-8,20101026,(주)오스코텍,건강기능식품벤처제조업,충청남도 천안시 서북구 성거읍 망향로 930,전칠삼추출물 등 복합물,,,,1
2017-10,20101224,(주)리즈바이오텍,건강기능식품벤처제조업,"대전광역시 유성구 어은동 과학로 125 어은동,한국생명공학연구원)",복분자추출분말,,,,1
2011-25,20110926,(주)후드코리아,건강기능식품전문제조업,"충청남도 금산군 복수면 복수로 352 (복수면,㈜푸드코리아)",회화나무열매추출물,갱년기 여성의 건강에 도움을 줄 수 있음(기타기능 II),회화나무열매추출물로서 350 mg/일,1) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의,1
2008-32,20080617,금사머쉬앤팜,건강기능식품전문제조업,경기 여주군 금사면 금사리  278번지,금사상황버섯,면역기능 개선에 도움을 줄 수 있음(기타기능II),금사상황버섯추출물로서 3.3g/day,-,1
2018-14,20190102,주식회사 뉴온,수입식품등 수입ㆍ판매업,서울특별시 강남구 논현로38길 42 201호,시서스추출물,체지방 감소에 도움,시서스추출물의 일일섭취량은 300mg/일,임산부 및 수유부는 섭취에 주의한다.,1
2019-2,20190408,국립원예특작과학원 인삼특작부,집단급식소,충청북도 음성군 소이면 비산로 92,인삼추출물,-,,,1
2019-3,20190408,(주)휴온스내츄럴,건강기능식품전문제조업,충청북도 진천군 이월면 진광로 709-104,깻잎추출물(PF501),체지방 감소에 도움을 줄 수 있음,,,1
2014-61,20141209,(주)로하스피아,수입식품등 수입ㆍ판매업,서울특별시 송파구 방이동 204번지 4호 건양빌딩,감마리놀렌산 함유 유지,월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급),감마리놀렌산으로서 210 ～ 300 mg/일,※「건강기능식품 기능성 원료 및 기준 규격  인정에 관한 규정」 제10조제2항에 따라 「건강기능식품의 기준 및 규격」에 고시 예정임,1
2014-55,20141103,(주)자연의힘,식품등 수입판매업,경기도 평택시 산단로197번길 73 1층,오메가-3 지방산 함유 유지,"기억력 개선에 도움을 줄 수 있음
 (생리활성기능 2등급)",DHA와 EPA의 합으로서 0.9 ～ 2 g/일,「건강기능식품 기능성 원료 및 기준․규격  인정에 관한 규정」 제10조제2항에 따라 「건강기능식품의 기준 및 규격」에 고시 예정임,1
2014-28,20140702,(주)프롬바이오,식품등 수입판매업,제주특별자치도 제주시 첨단로 213-4 제주첨단과학기술단지 엘리트빌딩 206호,와일드망고 종자추출물,"체지방 감소에 도움을 줄 수 있음
(생리활성기능 2등급)",와일드망고 종자추출물로서 300 mg,임산부 및 수유 여성은 섭취에 주의,1
2017-1,20170331,(주)휴온스,건강기능식품수입업,충청북도 제천시 바이오밸리로 100(왕암동),허니부쉬추출발효분말,자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움,허니부쉬추출발효분말로서 400~800mg/일,알레르기 체질이거나 특정질환이 있는 분은 섭취 전 의사와 상담바랍니다.,1
2014-8,20140219,에이케이바이오링크 주식회사,수입식품등 수입ㆍ판매업,서울 강동구 천호2동,옥수수배아추출물,피부보습에 도움을 줄 수 있음(생리활성기능 2등급),옥수수배아추출물로서 40~60 mg/일,"1) 영.유아, 임산부와 수유부는 섭취에 주의
2) 알레르기 체질이거나 특정질환이 있는 분은 섭취 전 의사와 상담",1
2012-17,20120510,(주)성지코퍼레이션,건강기능식품일반판매업,"서울특별시 송파구 잠실로 62,346동 401호 (잠실동,트리지움)",밀크씨슬 추출물(Milk Thistle Extract),간 건강에 도움을 줄 수 있음(생리활성기능 2등급),실리마린(Silymarin) 으로서 130 mg/일,"1) 알레르기 반응이 나타나는 경우에는 섭취 중단
2) 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의",1
2007-12,20070829,솔젠트(주),건강기능식품벤처제조업,대전광역시 유성구 테크노 6로 32 3층,피니톨 분말,피니톨은 캐롭빈 포드에서 정제?추출한 원료로서 혈당조절에 도움을 줄 수 있으나 인체시험에서 확인이 필요합니다.,.,피니톨은 당뇨병의 치료 및 예방에 사용될 수 없으므로  당뇨병 치료가 필요한 경우에는 의사와 상담 하에 사용하여야 합니다.,1
2007-15,20070928,게란티제약(주),건강기능식품전문제조업,충청남도 보령시 주포면 관산길 38,바이오게르마늄 효모,면역기능 증진에 도움,바이오게르마늄 효모로서 1.2g,,1
2019-4,20190408,(주)에치와이 평택공장,건강기능식품전문제조업,경기도 평택시 진위면 동부대로 2번지,L. curvatus HY7601와 L. plantarum KY1032의 프로바이오틱스 복합물,체지방 감소에 도움,Lactobacillus 복합물 HY7601+KY1032 로서 10000000000 cfu/일,"임산부, 수유부 및 어린이는 섭취 시 주의",1
2019-5,20190415,(주)파마리서치,건강기능식품벤처제조업,강원특별자치도 강릉시 과학단지로 77-19 (대전동) (주)파마리서치프로덕트,연어이리추출물(DOT™연어핵산),위 점막을 보호하여 위 건강에 도움을 줄 수 있음,연어이리추출물(PRP연어핵산)로서 750mg/일,,1
2019-6,20190419,한국암웨이(주),수입식품등 수입ㆍ판매업,"서울특별시 강남구 영동대로 517(28층 삼성동, 아셈타워)",루바브뿌리추출물,갱년기 여성건강에 도움을 줄 수 있음,,,1
2017-3,20170609,(주)휴온스푸디언스,건강기능식품전문제조업,강원특별자치도 춘천시 동내면 거두단지2길 14,허니부쉬추출발효분말,자외선에의한 피부손상으로 피부건강 유지에 도움을 줄 수 있음,허니부쉬추출발효분말로서 400~800 mg/일,"1) 어린이, 임산부, 수유부는 섭취에 주의
2) 유당불내증이 있는 사람은 섭취에 주의",1
2017-2,20170428,에스케이바이오랜드 주식회사,건강기능식품전문제조업,경기도 안산시 단원구 만해로 152,히알루론산,자외선에 의한 피부손상으로부터 피부 건강 유지에 도움을 줄 수 있음(생리활성기능 2등급),히알루론산으로서 240 mg/일,-,1
2015-12,20150409,(주)비티씨,건강기능식품벤처제조업,경기도 안산시 상록구 해안로 705 기술고화동 703호,감마리놀렌산함유유지,월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급),감마리놀렌산으로서 210~300 mg/일,-,1
2015-13,20150409,(주)비티씨,건강기능식품벤처제조업,경기도 안산시 상록구 해안로 705 기술고화동 703호,감마리놀렌산함유유지,면역과민반응에 의한 피부 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급),감마리놀렌산으로 160~300 mg/일,"1) 영.유아, 어린이는 섭취 전 의사와 상담하여야 함",1
2015-15,20150416,주식회사 노바렉스,건강기능식품전문제조업,충청북도 청주시 청원구 각리1길 94,히알루론산,피부 보습에 도움을 줄 수 있음(생리활성기능 2등급),히알루론산으로서 120 mg/일,"1) 임산부, 수유부는 섭취에 주의
2) 알레르기 체질 및 특이체질, 질병치료 중인 사람은 섭취에 주의",1
2013-35,20131128,(주)엔지켐생명과학,건강기능식품전문제조업,충청북도 제천시 왕암동  바이오밸리로 59,"피엘에이지(PLAG, 1-palmitoyl-2-linoleoyl-3-acetyl-rac-g",면역조절에 도움을 줄 수 있음(생리활성기능 2등급),"피엘에이지(PLAG, 1-palmitoyl-2-linoleoyl-3-acetyl -rac-glycerol)로서 1 g/일","1) 장기간(6개월 이상) 섭취 시 주의(삭제) 2) 어린이, 임산부, 수유부 및 가임여성은 섭취를 삼가(일부 삭제: 및 가임여성은) 3) 위장장애가 발생할 수 있으므로 주의",1
2012-36,20121231,(주)한국야쿠르트 중앙연구소,수입식품등 수입ㆍ판매업,경기도 용인시 기흥구 기흥단지로24번길 22 고매동 418-12,핑거루트추출분말,1) 자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음(생리활성기능 2등급) 2) 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급),핑거루트추출분말로서 600mg/일,-,1
2018-2,20180213,(주)대덕약업,건강기능식품일반판매업,경기도 수원시 영통구 대학1로8번길 70-8(1층 이의동),빌베리추출물,눈의 피로도 개선에 도움,빌베리추출물로서 120~240mg,,1
2019-10,20190516,아사히고도(주)서울지점,건강기능식품일반판매업,서울특별시 성동구 성수일로8길 5(A동 612호 성수동2가),빌베리추출물,눈의 피로도 개선에 도움,빌베리추출물로서 160~240mg,,1
2019-7,20190517,(주)뉴트리,수입식품등 수입ㆍ판매업,"경기도 성남시 중원구 사기막골로 124(상대원동,에스케이엔테크노파크 테크센터동 1109호)",스페인감초추출물,위 점막 내 헬리코박터(Helicobacter pylori) 증식을 억제하고 위 점막을 보호하여 위 건강에 도움을 줄 수 있습니다.,150mg,,1
2015-25,20151104,(주)백중인터내셔널,수입식품등 수입ㆍ판매업,서울특별시 서초구 남부순환로337가길 63-5 202호,EPA 및 DHA 함유유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음(생리활성기능 2등급),EPA와 DHA의 합으로서 0.6~1 g/일,-,1
